,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,47,8.19,scattered clouds
1,Batagay,RU,67.6333,134.6333,-21.77,97,100,2.01,overcast clouds
2,Hilo,US,19.7297,-155.09,74.62,75,7,1.01,clear sky
3,Cockburn Town,TC,21.4612,-71.1419,79.34,73,98,11.39,overcast clouds
4,Belle Fourche,US,44.6714,-103.8522,53.11,38,100,5.55,overcast clouds
5,Nouakchott,MR,18.0858,-15.9785,64.33,33,99,15.86,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,60.91,85,84,8.37,light rain
7,Clyde River,CA,70.4692,-68.5914,-0.17,78,100,5.75,overcast clouds
8,Jamestown,US,42.097,-79.2353,33.39,93,90,6.91,overcast clouds
9,Santa Isabel,BR,-23.3156,-46.2214,78.58,90,100,6.71,overcast clouds
10,Roald,NO,62.5833,6.1333,36.09,87,90,11.5,light rain
11,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,20,4.61,few clouds
12,Izhma,RU,65.0083,53.9113,-13.5,100,79,2.46,broken clouds
13,Talara,PE,-4.5772,-81.2719,67.69,81,100,14.76,overcast clouds
14,Carauari,BR,-4.8828,-66.8958,74.1,97,96,2.42,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,42.46,75,75,25.32,light intensity drizzle
16,Adelaide,AU,-34.9333,138.6,92.16,23,0,16.11,clear sky
17,Kuito,AO,-12.3833,16.9333,59.02,98,100,2.82,overcast clouds
18,Vardo,NO,70.3705,31.1107,22.86,82,98,25.68,overcast clouds
19,Takoradi,GH,4.8845,-1.7554,79.0,86,75,7.29,light rain
20,Rikitea,PF,-23.1203,-134.9692,76.44,78,6,21.05,light rain
21,Palmerston,AU,-12.486,130.9833,96.93,55,40,3.44,scattered clouds
22,Bayangol,RU,50.6977,103.4656,9.63,73,82,1.74,broken clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,57.87,89,75,11.01,broken clouds
24,Atuona,PF,-9.8,-139.0333,79.0,76,3,22.08,clear sky
25,Batman,TR,37.8874,41.1322,46.2,100,75,2.3,fog
26,Bambanglipuro,ID,-7.95,110.2833,83.59,69,97,6.51,overcast clouds
27,Linhares,BR,-19.3911,-40.0722,74.59,95,36,3.22,scattered clouds
28,East London,ZA,-33.0153,27.9116,67.08,89,100,5.55,light rain
29,Port Lincoln,AU,-34.7333,135.8667,81.36,38,93,8.19,overcast clouds
30,Severo-Kurilsk,RU,50.6789,156.125,31.8,64,96,27.85,overcast clouds
31,Avarua,CK,-21.2078,-159.775,80.65,61,20,16.11,few clouds
32,Lebu,CL,-37.6167,-73.65,53.67,87,87,17.11,overcast clouds
33,Bluff,NZ,-46.6,168.3333,61.81,75,92,6.04,overcast clouds
34,Khatanga,RU,71.9667,102.5,-32.48,100,92,2.59,overcast clouds
35,Saskylakh,RU,71.9167,114.0833,-28.35,100,88,4.14,overcast clouds
36,Port Alfred,ZA,-33.5906,26.891,66.29,90,100,11.92,light rain
37,Barrow,US,71.2906,-156.7887,-18.38,76,1,10.36,clear sky
38,Grants Pass,US,42.439,-123.3284,51.91,89,90,0.0,overcast clouds
39,Vaini,TO,-21.2,-175.2,84.36,58,20,11.5,few clouds
40,Tornio,FI,65.8481,24.1466,-2.18,93,84,6.8,broken clouds
41,Vestmanna,FO,62.1564,-7.1664,31.12,74,90,3.44,overcast clouds
42,Zhigansk,RU,66.7697,123.3711,-15.74,98,100,0.96,overcast clouds
43,Sciacca,IT,37.5082,13.0881,53.1,61,65,20.69,broken clouds
44,Cape Town,ZA,-33.9258,18.4232,63.09,85,90,6.91,light rain
45,Mahebourg,MU,-20.4081,57.7,78.26,88,20,4.61,few clouds
46,New Norfolk,AU,-42.7826,147.0587,81.66,27,4,3.0,clear sky
47,Sao Filipe,CV,14.8961,-24.4956,74.73,70,100,13.11,overcast clouds
48,Albany,US,42.6001,-73.9662,28.22,78,4,5.86,clear sky
49,Sioux Lookout,CA,50.1001,-91.917,26.98,93,90,6.91,light snow
50,Hithadhoo,MV,-0.6,73.0833,81.54,77,76,11.43,broken clouds
51,Lampazos De Naranjo,MX,27.0167,-100.5167,62.24,53,20,9.6,few clouds
52,Klaksvik,FO,62.2266,-6.589,32.92,58,100,6.2,overcast clouds
53,Qaanaaq,GL,77.484,-69.3632,10.38,61,100,3.53,overcast clouds
54,Moose Factory,CA,51.2585,-80.6094,12.18,92,90,4.61,overcast clouds
55,Peniche,PT,39.3558,-9.3811,56.62,78,83,0.89,broken clouds
56,Lompoc,US,34.6391,-120.4579,64.22,87,1,3.44,clear sky
57,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,8.05,scattered clouds
58,Mataura,NZ,-46.1927,168.8643,61.48,45,93,6.98,overcast clouds
59,Meulaboh,ID,4.1363,96.1285,77.7,84,99,1.39,light rain
60,Seoul,KR,37.5683,126.9778,47.77,93,90,6.91,light rain
61,Hervey Bay,AU,-25.2986,152.8535,83.03,74,89,9.51,overcast clouds
62,Maun,BW,-19.9833,23.4167,73.36,73,0,5.75,clear sky
63,Lavrentiya,RU,65.5833,-171.0,-12.01,91,3,8.61,clear sky
64,Chokurdakh,RU,70.6333,147.9167,-13.74,99,100,4.03,overcast clouds
65,Codrington,AU,-38.2667,141.9667,79.11,34,10,13.6,clear sky
66,Kaitangata,NZ,-46.2817,169.8464,60.93,78,98,10.25,overcast clouds
67,Fort Nelson,CA,58.8053,-122.7002,4.59,85,90,4.61,overcast clouds
68,Santa Cruz,BO,-17.8,-63.1667,72.86,94,90,2.3,overcast clouds
69,Filingue,NE,14.3521,3.3168,73.76,12,100,9.95,overcast clouds
70,Tasiilaq,GL,65.6145,-37.6368,21.36,92,92,4.72,overcast clouds
71,Upernavik,GL,72.7868,-56.1549,21.63,93,100,3.02,overcast clouds
72,Krutikha,RU,53.9599,81.2093,12.92,85,100,6.87,overcast clouds
73,Ibra,OM,22.6906,58.5334,63.7,86,0,1.63,clear sky
74,Alofi,NU,-19.0595,-169.9187,82.29,54,40,11.5,scattered clouds
75,Tongren,CN,27.7172,109.1853,56.77,63,2,3.2,clear sky
76,Coihaique,CL,-45.5752,-72.0662,48.81,71,0,2.3,clear sky
77,Leningradskiy,RU,69.3833,178.4167,-21.93,95,40,8.57,scattered clouds
78,Zongozotla,MX,19.9833,-97.7333,58.32,97,91,1.14,overcast clouds
79,Berlevag,NO,70.8578,29.0864,19.22,88,62,29.35,broken clouds
80,Skerries,IE,53.5828,-6.1083,51.19,100,100,20.4,overcast clouds
81,Kapaa,US,22.0752,-159.319,80.58,77,90,7.0,light rain
82,Ribeira Grande,PT,38.5167,-28.7,61.65,65,10,10.0,clear sky
83,Busselton,AU,-33.65,115.3333,66.09,44,69,8.81,broken clouds
84,Georgetown,MY,5.4112,100.3354,82.35,81,20,3.0,few clouds
85,Luderitz,NA,-26.6481,15.1594,59.34,82,4,11.25,clear sky
86,Guerrero Negro,MX,27.9769,-114.0611,64.98,73,0,9.53,clear sky
87,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,16.11,light snow
88,Turinsk,RU,58.0458,63.696,32.2,96,100,5.91,overcast clouds
89,Bara,NG,10.3744,10.7288,69.21,23,28,5.21,scattered clouds
90,Castro,BR,-24.7911,-50.0119,62.24,89,64,3.38,broken clouds
91,Ardesen,TR,41.1911,40.9875,69.76,57,100,8.81,light rain
92,Dikson,RU,73.5069,80.5464,-12.96,96,100,13.62,light snow
93,Duncan,US,34.5023,-97.9578,60.39,44,1,4.61,clear sky
94,Balabac,PH,7.9868,117.0645,83.43,72,100,8.34,overcast clouds
95,Yellowknife,CA,62.456,-114.3525,-18.58,83,20,5.75,few clouds
96,Bandarbeyla,SO,9.4942,50.8122,75.81,74,8,16.91,clear sky
97,Chuy,UY,-33.6971,-53.4616,64.85,89,100,17.38,overcast clouds
98,Provideniya,RU,64.3833,-173.3,-4.65,65,0,11.18,clear sky
99,Norman Wells,CA,65.282,-126.8329,-25.56,68,20,5.75,few clouds
100,Amapa,BR,1.0,-52.0,71.89,99,100,2.15,overcast clouds
101,Bellegarde-Sur-Valserine,FR,46.1079,5.8242,27.72,95,16,1.68,few clouds
102,Hobart,AU,-42.8794,147.3294,82.02,34,20,4.0,few clouds
103,Kosh-Agach,RU,50.0,88.6667,8.87,80,10,2.33,clear sky
104,Aranos,NA,-24.1333,19.1167,61.7,40,0,11.74,clear sky
105,Susanville,US,40.4163,-120.653,48.85,62,31,1.66,scattered clouds
106,Awjilah,LY,29.1081,21.2869,57.43,36,10,8.97,clear sky
107,Praia,CV,14.9215,-23.5087,73.94,68,75,23.02,broken clouds
108,Villafranca Di Verona,IT,45.3524,10.8402,41.0,57,0,6.91,clear sky
109,Narsaq,GL,60.9167,-46.05,32.22,99,100,7.29,snow
110,Seguela,CI,7.9611,-6.6731,73.49,79,10,5.39,clear sky
111,Nemuro,JP,43.3236,145.575,48.63,82,15,6.93,few clouds
112,Tiksi,RU,71.6872,128.8694,-21.73,99,98,6.29,overcast clouds
113,Vila Velha,BR,-20.3297,-40.2925,78.94,88,40,5.99,scattered clouds
114,Derzhavinsk,KZ,51.1,66.3167,6.93,97,20,4.52,few clouds
115,Swan Hill,AU,-35.3378,143.5544,86.0,28,61,6.58,broken clouds
116,Nouadhibou,MR,20.931,-17.0347,60.78,82,7,20.71,clear sky
117,Tazovskiy,RU,67.4667,78.7,-8.37,96,99,8.23,overcast clouds
118,Thompson,CA,55.7435,-97.8558,23.16,80,40,14.97,scattered clouds
119,Vauvert,FR,43.7,4.2833,37.65,64,0,8.05,clear sky
120,Vredendal,ZA,-31.6683,18.5012,59.5,89,75,4.0,broken clouds
121,Ayan,RU,56.45,138.1667,14.13,61,100,6.67,overcast clouds
122,Maldonado,UY,-34.6667,-54.9167,64.22,94,100,21.14,overcast clouds
123,Kisangani,CD,0.5167,25.2,69.75,99,100,3.24,light rain
124,Ancud,CL,-41.8697,-73.8203,51.33,87,19,1.45,few clouds
125,Saint George,US,37.1041,-113.5841,62.55,34,1,0.0,clear sky
126,Umm Lajj,SA,25.0213,37.2685,82.09,35,2,8.86,clear sky
127,Tautira,PF,-17.7333,-149.15,77.02,76,100,20.0,light rain
128,Toda Raisingh,IN,26.0252,75.4849,65.98,50,100,3.29,overcast clouds
129,Fortuna,US,40.5982,-124.1573,50.36,68,62,3.94,broken clouds
130,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,94,40,7.56,scattered clouds
131,Ugoofaaru,MV,5.6667,73.0,81.55,77,97,15.75,moderate rain
132,Mildura,AU,-34.2,142.15,90.07,18,13,5.75,few clouds
133,Shakawe,BW,-18.3667,21.85,70.5,63,72,3.27,broken clouds
134,Asfi,MA,32.2994,-9.2372,57.49,82,0,10.58,clear sky
135,Tete,MZ,-16.1564,33.5867,75.29,57,0,4.61,clear sky
136,Margate,GB,51.3813,1.3862,44.69,86,100,1.99,overcast clouds
137,Arraial Do Cabo,BR,-22.9661,-42.0278,74.3,91,7,22.59,clear sky
138,Fonte Boa,BR,-2.4959,-66.2662,73.98,97,80,2.64,broken clouds
139,Idah,NG,7.1065,6.7342,75.29,87,65,2.28,broken clouds
140,Sorong,ID,-0.8833,131.25,84.74,70,94,8.9,moderate rain
141,Grindavik,IS,63.8424,-22.4338,36.07,87,75,19.57,light intensity drizzle
142,Batemans Bay,AU,-35.7167,150.1833,84.2,66,14,10.18,few clouds
143,Nivala,FI,63.9167,24.9667,13.1,88,78,7.9,broken clouds
144,Jablah,SY,35.3614,35.9256,69.53,49,100,7.25,overcast clouds
145,Loiza,PR,18.4313,-65.8802,80.58,85,40,5.75,scattered clouds
146,La Ronge,CA,55.1001,-105.2842,21.45,63,1,8.05,clear sky
147,Bengkulu,ID,-3.8004,102.2655,77.7,80,100,11.18,overcast clouds
148,Marsa Matruh,EG,31.3525,27.2453,66.4,88,0,6.91,clear sky
149,Bredasdorp,ZA,-34.5322,20.0403,59.29,82,20,5.48,light rain
150,Lumberton,US,34.6182,-79.0086,38.21,41,44,2.53,scattered clouds
151,Mahanoro,MG,-19.9,48.8,73.78,86,70,3.8,broken clouds
152,Ostrovnoy,RU,68.0531,39.5131,8.94,90,100,5.19,overcast clouds
153,Khandagayty,RU,50.7333,92.05,10.6,92,80,3.76,broken clouds
154,Parkersburg,US,39.2667,-81.5615,37.0,65,90,4.61,overcast clouds
155,Dobroye,RU,52.8678,39.8109,46.71,81,100,20.76,overcast clouds
156,Namtsy,RU,62.7161,129.6658,-23.69,98,99,1.21,overcast clouds
157,Gdynia,PL,54.5189,18.5319,32.04,85,0,10.36,clear sky
158,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,23,8.23,few clouds
159,Kruisfontein,ZA,-34.0033,24.7314,61.88,84,22,6.42,few clouds
160,Sangre Grande,TT,10.5835,-61.1177,79.05,83,71,6.85,broken clouds
161,Broken Hill,AU,-31.95,141.4333,85.71,30,75,6.91,broken clouds
162,Talnakh,RU,69.4865,88.3972,-11.79,92,100,2.33,overcast clouds
163,Lagos,NG,6.5833,3.75,79.12,88,60,2.82,broken clouds
164,Constitucion,CL,-35.3333,-72.4167,52.27,92,4,8.72,clear sky
165,Massaguet,TD,12.4755,15.4365,77.09,14,65,11.45,broken clouds
166,Khash,IR,28.2211,61.2158,51.84,47,89,1.25,overcast clouds
167,Victoria,HK,22.2855,114.1577,75.04,57,0,5.99,clear sky
168,Hasaki,JP,35.7333,140.8333,59.29,62,94,20.6,overcast clouds
169,Kumluca,TR,36.3703,30.2869,68.68,84,100,9.37,overcast clouds
170,Birin,NP,26.8865,88.0718,57.88,49,50,2.06,scattered clouds
171,Butaritari,KI,3.0707,172.7902,81.07,80,66,9.73,light rain
172,Sangar,RU,63.9242,127.4739,-14.82,95,100,3.62,overcast clouds
173,Lasa,IT,46.6166,10.7002,27.48,94,55,7.56,broken clouds
174,Suriapet,IN,17.15,79.6167,74.25,75,94,2.66,overcast clouds
175,Kawalu,ID,-7.3817,108.2082,84.94,57,55,3.38,broken clouds
176,Poum,NC,-20.2333,164.0167,81.57,79,27,18.45,scattered clouds
177,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,67,7.0,broken clouds
178,Grand-Santi,GF,4.25,-54.3833,72.34,99,74,2.24,broken clouds
179,Sitka,US,57.0531,-135.33,39.09,70,90,17.27,light rain
180,Kinsale,IE,51.7075,-8.5306,49.37,87,40,6.91,scattered clouds
181,Nikolskoye,RU,59.7035,30.7861,26.4,96,100,7.63,light snow
182,Manokwari,ID,-0.8667,134.0833,82.08,80,100,5.64,light rain
183,Anadyr,RU,64.75,177.4833,-3.5,83,40,0.0,light snow
184,Owerri,NG,5.4833,7.0304,74.35,96,76,4.36,light rain
185,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,18.41,few clouds
186,Kieta,PG,-6.2167,155.6333,85.26,69,100,5.79,overcast clouds
187,Caravelas,BR,-17.7125,-39.2481,76.05,91,96,9.1,overcast clouds
188,Draguignan,FR,43.5333,6.4667,42.37,58,7,4.61,clear sky
189,San Quintin,MX,30.4833,-115.95,61.39,82,0,6.64,clear sky
190,Sabang,ID,5.8933,95.3214,75.81,95,100,11.32,moderate rain
191,Stevens Point,US,44.5236,-89.5746,32.34,87,90,3.44,overcast clouds
192,Malysheva,RU,57.1185,61.4035,32.09,96,100,5.66,overcast clouds
193,Gerzat,FR,45.8243,3.144,29.28,100,0,1.14,clear sky
194,Cordoba,AR,-31.4135,-64.1811,66.24,72,0,8.05,clear sky
195,Carnarvon,AU,-24.8667,113.6333,78.87,57,0,23.02,clear sky
196,Iracoubo,GF,5.4802,-53.2011,76.75,91,47,6.98,scattered clouds
197,Mayo,US,38.8876,-76.5119,41.0,70,1,1.01,clear sky
198,Torbay,CA,47.6666,-52.7314,46.27,97,90,19.57,fog
199,Nuristan,AF,35.3,70.8333,18.9,36,3,10.07,clear sky
200,Sobolevo,RU,54.4299,31.8996,33.84,92,100,20.2,snow
201,Mount Isa,AU,-20.7333,139.5,92.97,13,41,8.05,scattered clouds
202,Leh,IN,34.1667,77.5833,17.53,56,99,1.83,overcast clouds
203,Alyangula,AU,-13.8483,136.4192,89.47,70,29,8.05,scattered clouds
204,Soyo,AO,-6.1349,12.3689,77.45,89,100,1.03,heavy intensity rain
205,Ilulissat,GL,69.2167,-51.1,30.22,93,75,3.44,light snow
206,Sal Rei,CV,16.1833,-22.9167,70.36,68,99,22.84,overcast clouds
207,Concarneau,FR,47.875,-3.9225,50.77,84,60,8.9,broken clouds
208,Moroto,UG,2.5345,34.6666,66.42,75,98,7.11,overcast clouds
209,Airai,TL,-8.9266,125.4092,76.44,50,52,2.13,broken clouds
210,Tambo,PE,-14.8,-73.9167,37.47,70,59,1.07,broken clouds
211,Port Hardy,CA,50.6996,-127.4199,48.38,87,90,3.44,light rain
212,Tirlyanskiy,RU,54.2109,58.5806,29.17,96,100,3.11,overcast clouds
213,Methoni,GR,36.8197,21.7049,57.22,55,90,34.69,overcast clouds
214,Bairiki,KI,1.3292,172.9752,87.8,58,20,13.8,few clouds
215,Newport News,US,36.9788,-76.428,39.97,78,1,3.44,clear sky
216,Khandbari,NP,27.3747,87.2039,62.73,56,41,0.67,scattered clouds
217,Tshikapa,CD,-6.4167,20.8,67.12,95,100,0.76,overcast clouds
218,Cayenne,GF,4.9333,-52.3333,77.09,91,90,2.3,overcast clouds
219,Esperance,AU,-33.8667,121.9,64.24,58,97,11.52,overcast clouds
220,Luganville,VU,-15.5333,167.1667,84.78,71,88,6.46,moderate rain
221,Pozzallo,IT,36.7305,14.8499,45.25,60,51,26.46,broken clouds
222,Saldanha,ZA,-33.0117,17.9442,59.05,85,60,5.06,broken clouds
223,Adrar,MR,20.5022,-10.0711,59.9,31,85,11.21,overcast clouds
224,Ponta Do Sol,PT,32.6667,-17.1,62.71,69,57,3.38,broken clouds
225,Netanya,IL,32.3329,34.8599,73.04,40,48,4.54,scattered clouds
226,Kaeo,NZ,-35.1,173.7833,72.36,56,19,10.07,few clouds
227,Plouzane,FR,48.3833,-4.6167,50.05,93,75,4.61,broken clouds
228,Qena,EG,26.1615,32.7183,60.91,27,42,3.11,scattered clouds
